epoch,train_loss,val_loss
1,0.8996613756329024,0.47344483028758655
2,0.3113011602439037,0.30405358950813094
3,0.20125886049805855,0.23886848827461143
4,0.14932397556345478,0.19845647088118962
5,0.11514811128580651,0.1768785842053302
6,0.09204735832960427,0.1594728859988126
7,0.0747064792380041,0.1446600744089523
8,0.059457783390875575,0.1294574266517317
9,0.04741872847080231,0.12104756402504908
10,0.0401894663416204,0.11499555750520199
11,0.03503216222232702,0.1104764538732442
12,0.031045251522137194,0.10934002256238616
13,0.027942492052608608,0.10791403361922734
14,0.02568191492385199,0.10759405749184744
15,0.024931131303310393,0.1099855954770918
16,0.02363656067169037,0.10570695881139149
17,0.020323130478258847,0.1043486121219474
18,0.020035957119294574,0.1042816431007602
19,0.022862381067405752,0.10678934537164576
20,0.021845329129675618,0.10441555067316279
21,0.019403194364945905,0.10365734235806899
22,0.01774258972430716,0.10487606943427742
23,0.01753603057036189,0.10386512290154185
24,0.017998210938812112,0.10374559646399764
25,0.017336906449628525,0.10403621077731058
26,0.01624021032939152,0.10146776266492806
27,0.0158966349475846,0.10285796071221302
28,0.016158953334401253,0.1019286630118822
29,0.016610569242058563,0.10285036644668548
30,0.015384526536831644,0.10177685165560091
31,0.015052121870067655,0.10131176799148708
32,0.015687423526328438,0.1024719021150044
33,0.015379240847870606,0.10086233032407699
34,0.014747257217714171,0.10016771705893728
35,0.014907426655697985,0.10087305314645365
36,0.01469962148337948,0.10338927992172055
37,0.01445781075123216,0.10058919186522434
38,0.014139287168679595,0.10155674055121935
39,0.014571824800349823,0.10068065644568437
40,0.014477417169480908,0.10013999793823664
41,0.013268566272240512,0.09924833744570806
42,0.013756603772948389,0.09983540297328651
43,0.013388635908715984,0.10063038867982951
44,0.014022302637700322,0.10051157091828909
45,0.013870647996917469,0.10034674308323241
46,0.013915066279116131,0.10068322561390988
47,0.013619352845462406,0.10000961568061408
48,0.013107724363605182,0.10186473912039361
49,0.013053256157963048,0.09946012228920863
50,0.0127327319323307,0.09897492983705038
51,0.012490128937373762,0.10014917499252728
52,0.013271738644562612,0.09968060779010321
53,0.013648276423820022,0.09998504722176434
54,0.015391325234707926,0.09976387418225988
55,0.013845091069839438,0.10050618019100134
56,0.013409255313224533,0.09966010265052319
57,0.012324173056653568,0.09879322681430873
58,0.013087714445732888,0.0996284981681542
59,0.012322008974698125,0.09885874301098384
60,0.013040586122546067,0.09918828900758322
61,0.013059524219913953,0.10063964665032826
62,0.012644819484478763,0.09817922165157733
