object,trials,baseline_successes,baseline_success_rate,method_successes,method_success_rate,delta_percentage_points,baseline_mean_normalized_lift_score,method_mean_normalized_lift_score
jar,60,18,0.3,6,0.1,-20.0,0.3077059853821993,0.1174361128360033
cellphone,60,4,0.06666666666666667,3,0.05,-1.6666666666666667,0.08283778093755245,0.07892101878921191
usb_stick,60,7,0.11666666666666667,4,0.06666666666666667,-5.0,0.11956927925348282,0.07654933755596478
aggregate,180,29,0.16111111111111112,13,0.07222222222222222,-8.88888888888889,0.17003768185774484,0.09096882306039333
