object,trials,baseline_successes,baseline_success_rate,method_successes,method_success_rate,delta_percentage_points,baseline_mean_normalized_lift_score,method_mean_normalized_lift_score
jar,60,16,0.26666666666666666,8,0.13333333333333333,-13.333333333333334,0.2805862656484048,0.15569795171419779
cellphone,60,11,0.18333333333333332,4,0.06666666666666667,-11.666666666666666,0.185820655276378,0.08267032448202372
usb_stick,60,6,0.1,5,0.08333333333333333,-1.6666666666666667,0.10247990240653355,0.09285751978556316
aggregate,180,33,0.18333333333333332,17,0.09444444444444444,-8.88888888888889,0.1896289411104388,0.11040859866059488
