method,object,seed_count,successes,trajectories,mean_success_rate,sample_std_success_rate,mean_checkpoint_evaluation_normalized_lift_score,sample_std_normalized_lift_score
baseline,jar,3,19,60,0.31666666666666665,0.2753785273643051,0.31313337571918964,0.26296831247839525
baseline,cellphone,3,9,60,0.15,0.05,0.15954108287890753,0.06856657874510322
baseline,usb_stick,3,11,60,0.18333333333333335,0.07637626158259733,0.18462405105431876,0.07546115370740776
baseline,aggregate,3,39,180,0.21666666666666665,0.13017082793177756,0.21909950321747196,0.13349586425801593
wrist4,jar,3,21,60,0.35000000000000003,0.304138126514911,0.34787603840231895,0.28435906589683063
wrist4,cellphone,3,19,60,0.31666666666666665,0.02886751345948128,0.3335114320119222,0.03266382704452329
wrist4,usb_stick,3,2,60,0.03333333333333333,0.02886751345948129,0.03474062425084412,0.028711018848081166
wrist4,aggregate,3,42,180,0.2333333333333333,0.08660254037844387,0.23870936488836178,0.08016330111837072
