checkpoint,method,object,seed,final_lift_m,max_lift_m,normalized_lift_score,success,success_step,trajectory_id
best,baseline,jar,0,-2.7418136596679688e-06,0.3404889702796936,1.0,True,49,0
best,baseline,jar,0,-1.4901161193847656e-06,0.00486522912979126,0.016217430432637535,False,-1,1
best,baseline,jar,0,0.48318177461624146,0.48318177461624146,1.0,True,43,2
best,baseline,jar,0,-0.0007529258728027344,0.0043465495109558105,0.014488498369852703,False,-1,3
best,baseline,jar,0,-0.0007531046867370605,0.0069713592529296875,0.023237864176432293,False,-1,4
best,baseline,jar,0,0.4706529974937439,0.47066015005111694,1.0,True,45,5
best,baseline,jar,0,0.4665408730506897,0.4665408730506897,1.0,True,44,6
best,baseline,jar,0,-0.0007541179656982422,0.0031485557556152344,0.010495185852050781,False,-1,7
best,baseline,jar,0,-1.6450881958007812e-05,0.004916548728942871,0.016388495763142906,False,-1,8
best,baseline,jar,0,0.4716642498970032,0.4716642498970032,1.0,True,43,9
best,baseline,jar,0,0.4786965250968933,0.47873514890670776,1.0,True,41,10
best,baseline,jar,0,0.20873868465423584,0.20873868465423584,0.6957956155141195,True,106,11
best,baseline,jar,0,0.47417670488357544,0.4742305874824524,1.0,True,44,12
best,baseline,jar,0,0.5422400236129761,0.5422400236129761,1.0,True,52,13
best,baseline,jar,0,-9.775161743164062e-06,0.004115879535675049,0.013719598452250164,False,-1,14
best,baseline,jar,0,0.46810293197631836,0.46810293197631836,1.0,True,48,15
best,baseline,jar,0,-0.0005238652229309082,0.0062097907066345215,0.020699302355448406,False,-1,16
best,baseline,jar,0,-4.291534423828125e-06,0.004124820232391357,0.01374940077463786,False,-1,17
best,baseline,jar,0,-1.3709068298339844e-06,0.006524026393890381,0.02174675464630127,False,-1,18
best,baseline,jar,0,1.2516975402832031e-06,0.004129171371459961,0.013763904571533203,False,-1,19
best,baseline,jar,1,-2.9802322387695312e-06,0.0064574480056762695,0.021524826685587566,False,-1,0
best,baseline,jar,1,-5.364418029785156e-07,0.0077689290046691895,0.025896430015563965,False,-1,1
best,baseline,jar,1,-0.000754237174987793,0.0,0.0,False,-1,2
best,baseline,jar,1,-0.000758051872253418,0.003713846206665039,0.01237948735555013,False,-1,3
